id,createdAt,updatedAt,uploadedUrl,streamableUrl,transcodeJobId,transcodeStatus,transcodeMessage,duration,speech_label,speech_ratio,speech_duration_seconds,total_duration_seconds,speech_segment_count,processing_status,processing_error,transcript,language,language_probability,audio_duration_seconds,segment_count,transcription_status,transcription_error
d30d00f8-633d-4c85-9f10-e41fc0ea4780,2021-02-09 16:05:37.929757,2021-02-09 16:05:37.929757,https://says-api-uploaded-audio-dev.s3.amazonaws.com/saysuseraudio1612886737701.m4a,https://says-api-streamable-audio-dev.s3.amazonaws.com/saysuseraudio1612886737701.mp3,1612886737875-8x74sh,Submitted,,,speech,0.6020991906511493,20.299999999999997,33.715375,7.0,completed,,"You lock the green... You lock the greenhouse gases in Ooh, glad that... But I'm glad... You lock the greenhouse gases in But I'm glad that you're around You can take nutrients back any day My photos in the clouds",en,0.6969891786575317,33.715375,8,completed,
4368c30e-a587-483c-86df-749ee160e930,2021-02-08 18:12:12.133277,2021-02-08 18:12:12.133277,https://says-api-uploaded-audio-dev.s3.amazonaws.com/saysuseraudio1612807931889.m4a,https://says-api-streamable-audio-dev.s3.amazonaws.com/saysuseraudio1612807931889.mp3,1612807932078-sin4uz,Submitted,,,speech,0.6020991906511493,20.299999999999997,33.715375,7.0,completed,,"You lock the green... You lock the greenhouse gases in Ooh, glad that... But I'm glad... You lock the greenhouse gases in But I'm glad that you're around You can take nutrients back any day My photos in the clouds",en,0.6969891786575317,33.715375,8,completed,
84cb5b23-465f-44fc-8366-5913a9350efb,2021-02-23 16:57:56.379524,2021-02-23 17:02:56.497350,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1614099476107.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1614099476107.mp3,1614099476281-52dt18,Complete,Transcode job 1614099476281-52dt18 was completed.,34.0,speech,0.6020991906511493,20.299999999999997,33.715375,7.0,completed,,"You lock the green... You lock the greenhouse gases in Ooh, glad that... But I'm glad... You lock the greenhouse gases in But I'm glad that you're around You can take nutrients back any day My photos in the clouds",en,0.6969891786575317,33.715375,8,completed,
55433d7b-ce8c-428c-baaf-79de97e0ac5b,2021-03-19 18:39:04.950916,2021-03-19 18:44:05.060553,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1616179144743.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1616179144743.mp3,1616179144850-st2sof,Complete,Transcode job 1616179144850-st2sof was completed.,4.0,speech,0.8769538384634611,2.8508125,3.2508125,2.0,completed,,"¿Ya puedo grabar? Hola, hola Uh, uh, uh",es,0.9572399854660034,3.2508125,3,completed,
941b4b23-d7a2-4345-abb6-c63d912ffcf7,2021-03-21 16:46:00.460998,2021-03-21 16:51:00.567700,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1616345160235.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1616345160235.mp3,1616345160384-gttog3,Complete,Transcode job 1616345160384-gttog3 was completed.,3.0,speech,0.2050756216354781,0.6000000000000001,2.92575,1.0,completed,,Готово.,ru,0.7610587477684021,2.92575,1,completed,
f11559d7-d8ac-4e78-9868-c3352e02ce66,2022-08-28 17:57:32.142763,2022-08-28 17:57:37.335935,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1661709451907.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1661709451907.mp3,1661709452044-k385bg,Complete,Transcode job 1661709452044-k385bg was completed.,18.0,speech,0.6914054059992603,11.8,17.0666875,9.0,completed,,"Flattery. I like it. But no. We were, I assume, not kids of the same era. Close to. But yeah. I mean, Costco hasn't changed much, so it's not like a big difference. But still.",en,0.9986370205879213,17.0666875,1,completed,
69c74b49-ac74-4f2b-bc5c-0182c417226c,2021-04-04 17:39:47.286040,2021-04-04 17:44:47.528867,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1617557987055.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1617557987055.mp3,1617557987180-jfbutf,Complete,Transcode job 1617557987180-jfbutf was completed.,4.0,speech,0.207549617330393,0.8,3.8545,1.0,completed,,hola,es,0.2506968080997467,3.8545,1,completed,
421acfa2-8cf2-4dc2-a47d-b1a11d82b3eb,2021-04-05 23:45:07.275518,2021-04-05 23:50:07.428176,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1617666306976.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1617666306976.mp3,1617666307179-d3qx6o,Complete,Transcode job 1617666307179-d3qx6o was completed.,7.0,speech,0.619446185612625,4.2,6.78025,1.0,completed,,I thought this episode was pretty interesting. I think you guys will dig it. Check it out.,en,0.982470691204071,6.78025,1,completed,
37e2702d-d7d7-4b04-a34c-be183452c003,2021-04-13 23:46:10.071197,2021-04-13 23:51:10.181408,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1618357569725.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1618357569725.mp3,1618357569966-awit04,Complete,Transcode job 1618357569966-awit04 was completed.,8.0,speech,0.7855721262175929,5.6,7.1285625,1.0,completed,,"What up, what up, what up. Riding in the Tesla, going to get some food, and not driving too fast. Loving it.",en,0.9892569184303284,7.1285625,1,completed,
47bac8ea-0019-4a79-8e67-393cf749ec41,2021-04-14 02:42:12.004824,2021-04-14 02:47:12.110341,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1618368131684.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1618368131684.mp3,1618368131902-2zy0j5,Complete,Transcode job 1618368131902-2zy0j5 was completed.,11.0,speech,0.5808967593722811,5.800000000000001,9.9845625,3.0,completed,,"Test, test, testing, 1, 2, 1, 2, testing, test, test.",en,0.9103253483772278,9.9845625,1,completed,
